Architecture,Hidden_Dims,Activation,Dropout,Optimizer,accuracy,precision_macro,recall_macro,f1_macro
Arch_1,"(512, 256, 128)",ReLU,0.3,Adam,0.9774977497749775,0.9772428663865298,0.9772571185032282,0.9772376403609995
Arch_2,"(1024, 512, 256, 128)",SiLU,0.4,AdamW,0.976997699769977,0.9769191786124518,0.9768604064269294,0.9768771196204815
Arch_3,"(1024, 512)",ReLU,0.5,SGD,0.9518951895189519,0.951494485157756,0.9512845633756465,0.9513437017039406
Arch_4,"(256, 256, 256, 256)",GELU,0.2,AdamW,0.9770977097709771,0.9770173125976631,0.9768698887139111,0.9769321113514218
Arch_5,"(128, 64)",ELU,0.6,Adam,0.9321932193219322,0.9317187954411402,0.9314025431441925,0.9315306510636393
